report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level,id
SEP-2001,2001,SEP,FR_SEP_2001.pdf,MOSPI_2001_INMARSATPV,INMARSAT-P(VSNL),VSNL,11/1995,9/2000,,1/2003,546.0,,546.0,0.0,0.0,550.44,100.0,100.81,0.81,28.0,High,General Execution Delay,,Other Infrastructure,Multi-State / Central,1.0,1.008,6.304,0,58.0,Administrative & Inter-Agency Coordination,851,High,1
SEP-2001,2001,SEP,FR_SEP_2001.pdf,MOSPI_2001_SAFECABLES,SAFE CABLE SYSTEM(VSNL),VSNL,12/1999,12/2001,,12/2001,231.0,,231.0,0.0,0.0,127.56,55.22,55.22,0.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.552,5.447,0,24.0,On Schedule,0,Low,2
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_IMPOFNH8IN,IMP. OF NH-8 IN HARYANA & RAJASTHAN (NHAI),NHAI,3/1995,6/1999,,5/2001,298.5,,382.14,83.64,28.02,351.1,100.0,117.62,17.62,23.0,Medium,General Execution Delay,,Road Transport & Highways,Rajasthan,1.28,1.176,5.702,1,51.0,Land Acquisition & Right of Way,699,Medium,3
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_4LANINGOFN,4 LANING OF NH-1 IN PUNJAB (KM212.20 - KM 252.25),,8/1993,9/1998,,4/2001,82.75,,232.0,149.25,180.36,240.73,100.0,290.91,190.91,31.0,High,General Execution Delay,,Road Transport & Highways,Punjab,2.804,2.909,4.428,1,61.0,Land Acquisition & Right of Way,942,High,4
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_4LANINGBET,4-LANING BETWEEN KM 439 TO 497 ON NH-8 OF AHMEDABAD-MUMBAI,,4/1993,5/1997,,4/2001,117.73,,253.47,135.74,115.3,265.1,100.0,225.18,125.18,47.0,High,General Execution Delay,,Road Transport & Highways,Maharashtra,2.153,2.252,4.777,1,49.0,Land Acquisition & Right of Way,1429,High,5
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_IMPOFNH2IN,IMP. OF NH-2 IN JHARKHAND (NHAI),NHAI,3/1995,6/1999,,3/2001,127.89,,187.6,59.71,46.69,168.3,100.0,131.6,31.6,21.0,High,General Execution Delay,,Road Transport & Highways,Jharkhand,1.467,1.316,4.859,1,51.0,Forest & Environmental Clearances,638,High,6
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_4LANNINGOF,4-LANNING OF BHUBANESHWAR CUTTACK-JAGTAPUR SECTION(NH-5),,6/1992,4/1996,,3/2001,133.98,,275.13,141.15,105.35,240.87,100.0,179.78,79.78,59.0,High,General Execution Delay,,Road Transport & Highways,Odisha,2.054,1.798,4.905,1,46.0,Forest & Environmental Clearances,1794,High,7
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_4LANEWIDEN,"4 LANE WIDENING OF NH3, INDORE BYE-PASS(MP PWD)",MP PWD,2/1992,3/1997,,3/2001,102.97,,276.0,173.03,168.04,227.28,100.0,220.72,120.72,48.0,High,General Execution Delay,,Road Transport & Highways,Madhya Pradesh,2.68,2.207,4.644,1,61.0,Land Acquisition & Right of Way,1459,High,8
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_4LANINGOFM,4-LANING OF MATHURA- AGRA SECT-ION OF NH-2 KM 148.33 TO 199,,11/1993,4/1999,,10/2000,103.21,,155.93,52.72,51.08,134.57,100.0,130.38,30.38,18.0,High,General Execution Delay,,Road Transport & Highways,Uttar Pradesh,1.511,1.304,4.646,1,65.0,Land Acquisition & Right of Way,547,High,9
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_NATHPAJHAK,NATHPA JHAKRI TRANSMISSION SYSTEM (P.GRID),P.GRID,4/1989,4/1996,,6/2001,889.95,,1561.63,671.68,75.47,1348.71,100.0,151.55,51.55,62.0,High,General Execution Delay,,Power & Renewable Energy,Multi-State / Central,1.755,1.515,6.792,1,84.0,Fund Constraint & Financial Stress,1885,High,10
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_LPGPIPELIN,LPG PIPELINE FROM JAMNAGAR TO LONI(GAIL),GAIL,10/1997,4/2001,,4/2001,1229.45,,1229.45,0.0,0.0,1071.48,87.15,87.15,0.0,0.0,Low,On Schedule,,Petroleum & Natural Gas,Multi-State / Central,1.0,0.872,7.115,0,42.0,On Schedule,0,Low,11
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_EXPNOFBAUX,EXPN OF BAUXITE MINE & ALUMINA REFINERY(NALCO),NALCO,6/1996,3/2001,,6/2001,1664.6,,1664.6,0.0,0.0,1138.6,68.4,68.4,0.0,3.0,Low,General Execution Delay,,Petroleum & Natural Gas,Multi-State / Central,1.0,0.684,7.418,0,57.0,On Schedule,91,Low,12
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_NANGALUREA,NANGAL UREA EXPANSION (NFL),NFL,5/1999,5/2001,,5/2001,135.13,,135.13,0.0,0.0,128.24,94.9,94.9,0.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.949,4.914,0,24.0,On Schedule,0,Low,13
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_MORDOFMINT,"MORD. OF MINTS AT HYDERABAD, MUMBAI & CALCUTTA",,3/1989,3/1992,,5/2001,118.28,,301.82,183.54,155.17,268.49,100.0,227.0,127.0,110.0,High,General Execution Delay,,Other Infrastructure,Maharashtra,2.552,2.27,4.781,1,36.0,Fund Constraint & Financial Stress,3344,High,14
APR-2001,2001,APR,FR_April_2001.pdf,MOSPI_2001_MEDAPALISC,MEDAPALI (SCCL),SCCL,4/1993,3/2001,,3/2001,219.82,,219.82,0.0,0.0,39.77,18.09,18.09,0.0,0.0,Low,On Schedule,,Coal & Mines,Multi-State / Central,1.0,0.181,5.397,0,95.0,On Schedule,0,Low,15
JUN-2001,2001,JUN,FR_JUNE_2001.pdf,MOSPI_2001_CONSTRUCTI,CONSTRUCTION OF A NEW PORT AT ENNORE(NEAR CHENNAI),NEAR CHENNAI,4/1993,4/1998,,7/2001,593.9,,1058.52,464.62,78.23,799.99,100.0,134.7,34.7,39.0,High,General Execution Delay,,Ports & Shipping,Tamil Nadu,1.782,1.347,6.388,1,60.0,Fund Constraint & Financial Stress,1186,High,16
JUN-2002,2002,JUN,FR_JUNE_2002.pdf,MOSPI_2002_VANIYAMBAD,VANIYAMBADI- PALLIKONDA (GQ) KM.49.00-KM.100.00 (NH-46),GQ,4/2000,6/2004,,12/2003,223.0,,223.0,0.0,0.0,37.61,16.87,16.87,0.0,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.169,5.412,0,50.0,On Schedule,0,Low,17
JUN-2002,2002,JUN,FR_JUNE_2002.pdf,MOSPI_2002_GUNTURGUNT,GUNTUR - GUNTAKAL & GOOTY- KALLURU- DHARMAVARAM GC(SCR),SCR,4/1992,3/1996,,6/2002,226.4,,517.16,290.76,128.43,459.34,100.0,202.89,102.89,75.0,High,General Execution Delay,,Other Infrastructure,Multi-State / Central,2.284,2.029,5.427,1,47.0,Fund Constraint & Financial Stress,2280,High,18
