report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative
MAR-2025,2025,MAR,FRMarch2025.pdf,180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),NHPC,9-2003,9/2010,N.A.,5/2026,6285.33,,26075.54,19790.21,314.86,23753.28,96.1,377.92,281.82,188,High,Forest & Environmental Clearance; Law & Order / Local Agitation,"Background SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC), ARUNACHAL PRADESH, 8x250 MW Subansiri Lower HE Project is the biggest hydroelectric project undertaken in India so far and is a run of river scheme on river Subansiri. The Project is located near North Lakhimpur on the border of Aruncachal Pradesh "
MAR-2025,2025,MAR,FRMarch2025.pdf,N18000362,DIBANG MULTIPURPOSE PROJECT 2880 MW ARUNACHAL PRADESH,NHPC,2-2023,2/2032,N.A.,2/2032,31876.39,,31876.39,0,0,3182.93,14.47,9.99,-4.48,0,Low,On Schedule,
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001297,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 163.59 TO KM 206.66 (PACKAGE,MoRTH,3-2019,3/2027,N.A.,3/2027,450.65,,450.65,0,0,389.68,95.26,86.47,-8.79,0,Low,On Schedule,
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002222,HUNLI TO HAYULIANG PKG-1,NHIDCL,2-2024,2/2028,N.A.,2/2028,1262.43,,1262.43,0,0,0,15,0,-15,0,Low,On Schedule,
MAR-2025,2025,MAR,FRMarch2025.pdf,N06000290,TIKAK EXTENSION OCP - 0.2 MTY,CIL,7-2022,11/2030,N.A.,11/2030,159.77,,159.77,0,0,81.45,19,50.98,31.98,0,High,On Schedule,
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000379,NUMALIGARH REFINERY EXPANSION PROJECT 6 MMTPA REFINARY,NRL,1-2019,10/2024,N.A.,12/2025,12366,,18968,6602,53.39,15390.82,71.88,124.46,52.58,14,High,General Execution Delay,"Background NUMALIGARH REFINERY EXPANSION PROJECT, GOALPARA, ASSAM Ministry of Statistics and Programme Implementation Infrastructure and Project Monitoring Division Release on 24-Aug-2020 ( - ) OIL & NATURAL GAS CORPORATION LIMITED 126 CO"
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000394,NUMALIGARH REFINERY EXPANSION PROJECT COIT AND PIPELINES,NRL,1-2019,10/2024,N.A.,9/2025,10228,,9058,-1170,-11.44,9212.58,83.81,90.07,6.26,11,Medium,On Schedule / Undocumented,
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000457,CAPACITY EXPANSION OF DIGBOI REFINERY FROM 0.65 TO 1.0 MMTPA,IOCL,6-2022,10/2025,N.A.,3/2026,768,,768,0,0,80.1529,29,10.44,-18.56,5,Low,On Schedule / Undocumented,
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000528,PIPELINE NETWORK PROJECT RUDRASAGAR,ONGC,1-2023,4/2026,N.A.,4/2026,344.99,,344.99,0,0,169.86,42.8,49.24,6.44,0,Low,On Schedule,
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000532,BORHOLLA GGS LIFE EXTENSION PROJECT,ONGC,9-2023,5/2026,N.A.,5/2026,198.7,,198.7,0,0,99.5,14.98,50.08,35.1,0,High,On Schedule,
