report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level
MAR-2025,2025,MAR,FRMarch2025.pdf,180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),NHPC,9-2003,9/2010,N.A.,5/2026,6285.33,,26075.54,19790.21,314.86,23753.28,96.1,377.92,281.82,188.0,High,Forest & Environmental Clearance; Law & Order / Local Agitation,"Background SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC), ARUNACHAL PRADESH, 8x250 MW Subansiri Lower HE Project is the biggest hydroelectric project undertaken in India so far and is a run of river scheme on river Subansiri. The Project is located near North Lakhimpur on the border of Aruncachal Pradesh ",Power & Renewable Energy,Multi-State / Central,4.149,3.779,8.746,1,84.0,Legal Disputes & Local Agitations,5715,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N18000362,DIBANG MULTIPURPOSE PROJECT 2880 MW ARUNACHAL PRADESH,NHPC,2-2023,2/2032,N.A.,2/2032,31876.39,,31876.39,0.0,0.0,3182.93,14.47,9.99,-4.48,0.0,Low,On Schedule,,Power & Renewable Energy,Arunachal Pradesh,1.0,0.1,10.37,0,108.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001297,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 163.59 TO KM 206.66 (PACKAGE,MoRTH,3-2019,3/2027,N.A.,3/2027,450.65,,450.65,0.0,0.0,389.68,95.26,86.47,-8.79,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.865,6.113,0,96.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002222,HUNLI TO HAYULIANG PKG-1,NHIDCL,2-2024,2/2028,N.A.,2/2028,1262.43,,1262.43,0.0,0.0,0.0,15.0,0.0,-15.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.0,7.142,0,48.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N06000290,TIKAK EXTENSION OCP - 0.2 MTY,CIL,7-2022,11/2030,N.A.,11/2030,159.77,,159.77,0.0,0.0,81.45,19.0,50.98,31.98,0.0,High,On Schedule,,Coal & Mines,Multi-State / Central,1.0,0.51,5.08,1,100.0,On Schedule,0,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000379,NUMALIGARH REFINERY EXPANSION PROJECT 6 MMTPA REFINARY,NRL,1-2019,10/2024,N.A.,12/2025,12366.0,,18968.0,6602.0,53.39,15390.82,71.88,124.46,52.58,14.0,High,General Execution Delay,"Background NUMALIGARH REFINERY EXPANSION PROJECT, GOALPARA, ASSAM Ministry of Statistics and Programme Implementation Infrastructure and Project Monitoring Division Release on 24-Aug-2020 ( - ) OIL & NATURAL GAS CORPORATION LIMITED 126 CO",Petroleum & Natural Gas,Assam,1.534,1.245,9.423,1,69.0,Fund Constraint & Financial Stress,426,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000394,NUMALIGARH REFINERY EXPANSION PROJECT COIT AND PIPELINES,NRL,1-2019,10/2024,N.A.,9/2025,10228.0,,9058.0,-1170.0,-11.44,9212.58,83.81,90.07,6.26,11.0,Medium,On Schedule / Undocumented,,Petroleum & Natural Gas,Assam,0.886,0.901,9.233,0,69.0,Administrative & Inter-Agency Coordination,334,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000457,CAPACITY EXPANSION OF DIGBOI REFINERY FROM 0.65 TO 1.0 MMTPA,IOCL,6-2022,10/2025,N.A.,3/2026,768.0,,768.0,0.0,0.0,80.1529,29.0,10.44,-18.56,5.0,Low,On Schedule / Undocumented,,Petroleum & Natural Gas,Multi-State / Central,1.0,0.104,6.645,0,40.0,On Schedule,152,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000528,PIPELINE NETWORK PROJECT RUDRASAGAR,ONGC,1-2023,4/2026,N.A.,4/2026,344.99,,344.99,0.0,0.0,169.86,42.8,49.24,6.44,0.0,Low,On Schedule,,Petroleum & Natural Gas,Multi-State / Central,1.0,0.492,5.846,0,39.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000532,BORHOLLA GGS LIFE EXTENSION PROJECT,ONGC,9-2023,5/2026,N.A.,5/2026,198.7,,198.7,0.0,0.0,99.5,14.98,50.08,35.1,0.0,High,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.501,5.297,1,32.0,On Schedule,0,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N16000510,POWER RECOVERY TURBINE IN PFCCU,NRL,3-2023,7/2025,N.A.,7/2025,293.5,,293.5,0.0,0.0,97.2289,33.0,33.13,0.13,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.331,5.685,0,28.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N22000388,BONGAIGAON-GOALPARA-GUWAHATI (176 KM),NFR,4-2015,3/2022,N.A.,3/2027,2232.32,,4983.94,2751.62,123.26,3606.19,92.3,161.54,69.24,60.0,High,General Execution Delay,"Background BONGAIGAON-GOALPARA-GUWAHATI (176 KM), ASSAM (i) ROR =3.84% (ii) Initial Pink book cost=Rs 1832.00 Crs. (iii) Sri Suresh Prabhakar Prabhu, Union Railway Minister along with Shri Rajen Gohain, MoSR has laid the foundation stone of the project at Maligaon,Guwahati on 10.11.2016. (iv) Ph-I: ",Other Infrastructure,Assam,2.233,1.615,7.711,1,83.0,Fund Constraint & Financial Stress,1824,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002225,BILASIPURA- GUWAHATI ROAD PKG-1,NHIDCL,2-2024,8/2027,N.A.,8/2027,1081.15,,1081.15,0.0,0.0,0.0,37.0,0.0,-37.0,0.0,Low,On Schedule,,Road Transport & Highways,Assam,1.0,0.0,6.987,0,42.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001434,JOGIGHOPA BRIDGE,NHIDCL,8-2021,11/2024,N.A.,12/2026,746.76,,746.76,0.0,0.0,328.49,65.29,43.99,-21.3,25.0,High,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.44,6.617,0,39.0,Administrative & Inter-Agency Coordination,760,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001408,CONSTRUCTION OF 2-LANE MAJOR BRIDGE INCLUDING APPROACHESOVER BRAHMAPUTRA BETWEEN MAJULI ON NORTH BAN,MoRTH,2-2021,7/2025,N.A.,7/2025,925.47,1019.17,925.47,0.0,0.0,192.5,30.65,20.8,-9.85,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.208,6.831,0,53.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001450,DABOKA KATHKATI PACKAGE-6,NHIDCL,9-2021,7/2024,N.A.,5/2025,625.64,,625.64,0.0,0.0,550.6,100.0,88.01,-11.99,10.0,Medium,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.88,6.44,0,34.0,Administrative & Inter-Agency Coordination,304,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001451,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-1,NHIDCL,3-2022,7/2024,N.A.,10/2024,215.27,,215.27,0.0,0.0,151.29,100.0,70.28,-29.72,3.0,Low,On Schedule / Undocumented,,Road Transport & Highways,Multi-State / Central,1.0,0.703,5.377,0,28.0,On Schedule,91,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001537,DABOKA KATHKATI PACKAGE-7,NHIDCL,11-2021,7/2024,N.A.,5/2025,204.1,,204.1,0.0,0.0,142.31,93.26,69.73,-23.53,10.0,Medium,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.697,5.323,0,32.0,Administrative & Inter-Agency Coordination,304,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001544,FOUR LANING OF SRIRAMPUR-DHUBRI PKG- 2,NHIDCL,3-2022,1/2025,N.A.,6/2025,909.02,,909.02,0.0,0.0,509.89,94.64,56.09,-38.55,5.0,Low,On Schedule / Undocumented,,Road Transport & Highways,Multi-State / Central,1.0,0.561,6.813,0,34.0,On Schedule,152,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001548,"6L STANDALONE FLYOVERS AT BONGAIGAON, CHAPAGURI, PATHSALA, SIMLAGURI CHOWK AND BAIHATA BYPASS JUNCTI",NHAI,3-2022,6/2024,N.A.,3/2025,457.72,,457.72,0.0,0.0,365.99,100.0,79.96,-20.04,9.0,Medium,On Schedule / Undocumented,,Road Transport & Highways,Assam,1.0,0.8,6.128,0,27.0,Land Acquisition & Right of Way,274,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001366,DABOKA KATHKATI PACKAGE-5,NHIDCL,3-2021,1/2023,N.A.,11/2024,288.85,,288.85,0.0,0.0,247.76,100.0,85.77,-14.23,22.0,Medium,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.858,5.669,0,22.0,Administrative & Inter-Agency Coordination,669,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001368,TULUNGIA-JOGIGHOPA-PAIKAN ROAD PKG-7,NHIDCL,3-2021,1/2024,N.A.,10/2025,286.72,,286.72,0.0,0.0,137.01,71.71,47.79,-23.92,21.0,Medium,On Schedule / Undocumented,,Road Transport & Highways,Multi-State / Central,1.0,0.478,5.662,0,34.0,Land Acquisition & Right of Way,638,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001326,4-L DHUBRI PHULBARI BRIDGE WITH APPROACH ROAD,NHIDCL,11-2020,9/2028,N.A.,9/2028,4997.04,,4997.04,0.0,0.0,2382.39,59.88,47.68,-12.2,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.477,8.517,0,94.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001246,4-LANING OF HAPACHARA - TULUNGIA SECTION,NHIDCL,3-2020,12/2022,N.A.,6/2024,220.2,,220.2,0.0,0.0,217.06,97.76,98.57,0.81,18.0,Medium,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.986,5.399,0,33.0,Administrative & Inter-Agency Coordination,547,Medium
